1;20180305;1215;1315;1;
2;20180305;1216;1315;1;
3;20180305;1215;1315;1;
4;20180305;1216;1315;1;
5;20180305;1215;1315;1;
6;20180305;1216;1315;1;
7;20180305;1215;1315;1;
8;20180305;1216;1315;1;
9;20180305;1215;1315;1;
10;20180305;1216;1315;1;
11;20180305;1215;1315;1;
12;20180305;1216;1315;1;
13;20180306;1217;1315;1;
14;20180306;1218;1315;1;
15;20180306;1217;1315;1;
16;20180306;1218;1315;1;
17;20180306;1217;1315;1;
18;20180306;1218;1315;1;
18;20180307;1218;1315;1;
19;20180308;1221;1315;1;
20;20180308;1222;1315;1;
21;20180308;1221;1315;1;
22;20180308;1222;1315;1;
23;20180308;1221;1315;1;
24;20180308;1222;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
25;20180309;1223;1315;1;
26;20180309;1224;1315;1;
27;20180310;1225;1315;1;
28;20180310;1226;1315;1;
29;20180311;1227;1315;1;
30;20180311;1228;1315;1;
31;20180408;2030;1815;1;
32;20180408;2030;1815;1;
33;20180408;2030;1815;1;
34;20180408;2030;1815;1;
35;20180408;2030;1815;1;
